._MODE,._NEW_MODE,._NEW_MANAGER,._W,._NEW_W,._WORKER_USER,._NICK,._NEW_NICK,._USER,._NEW_USER,._TYPE,._MALAY_W,._MALAY_P,._THAI_W,._THAI_P,._W,._P
C,C,WHANG,อ,นา,NA,บอย,บอย,บอย,BOY,M,N,Y,N,N,N,Y
C,C,WHANG,หน่อย,นา,NA,ม.เบตง,รุ่ง-เบตง,ม.เบตง,BT,M,N,Y,N,N,N,Y
C,C,WHANG,หน่อย,นา,NA,รุ่ง.เบตง,รุ่ง-เบตง,รุ่ง.เบตง,BT,M,N,Y,N,N,N,Y
C,C,WHANG,หน่อย,นา,NA,รุ่ง.ม,รุ่ง-เบตง,รุ่ง.ม,BT,M,N,Y,N,N,N,Y
C,C,WHANG,ชาติ,นา,NA,เฮีย C,เฮีย-C,เฮีย C,C,T,N,N,N,Y,,Y
C,C,WHANG,ชาติ,นา,NA,เฮียC,เฮีย-C,เฮียC,C,M,N,Y,N,N,N,Y
C,C,WHANG,นา,นา,NA,ออง,ออง-ชน,ออง,CA,M,N,Y,N,N,N,Y
C,C,WHANG,พี่นา,นา,NA,ออง,ออง-ชน,ออง,CA,M,N,Y,N,N,N,Y
C,C,WHANG,บัว,นา,NA,ออง-ชน,ออง-ชน,ออง-ชน,CA,M,N,Y,N,N,N,Y
C,C,WHANG,หน่อย,นา,NA,การ์ตูน,การ์ตูน,การ์ตูน,CARTOON,M,N,Y,N,N,N,Y
C,C,WHANG,WEB,นา,NA,ชาญชัย,ชาญชัย,ชาญชัย,CC,T,N,N,Y,N,Y,
C,C,WHANG,บัว,นา,NA,ชาญชัย,ชาญชัย,ชาญชัย,CC,T,N,N,N,Y,,Y
C,C,WHANG,บัว,นา,NA,ชาญชัย,ชาญชัย,ชาญชัย,CC,M,N,Y,N,N,N,Y
C,C,WHANG,เล็ก,นา,NA,ชาญขัย,ชาญชัย,ชาญขัย,CC,M,N,Y,N,N,N,Y
C,C,WHANG,เล็ก,นา,NA,ชาญชัย,ชาญชัย,ชาญชัย,CC,M,N,Y,N,N,N,Y
C,C,WHANG,หน้าเว็ป,นา,NA,ชาญชัย,ชาญชัย,ชาญชัย,CC,M,Y,N,N,N,Y,N
C,C,WHANG,หมู,นา,NA,เจ้เชง,เจ้เชง,เจ้เชง,CH,T,N,N,N,Y,,Y
C,C,WHANG,หมู,นา,NA,เจ้เชง,เจ้เชง,เจ้เชง,CH,M,N,Y,N,N,N,Y
C,C,WHANG,หมู,นา,NA,เจ๊เชง,เจ้เชง,เจ๊เชง,CH,M,N,Y,N,N,N,Y
C,C,WHANG,หมู,นา,NA,เจ้เชง / CH,เจ้เชง,เจ้เชง / CH,CH,M,N,Y,N,N,N,Y
P,P,WHANG,รายการโป๊ว,นา,NA,ชาย,ชาย-โป๊ว,ชาย,CHAI,T,N,N,N,Y,,Y
C,C,WHANG,WEB,นา,NA,ฉ่อย,ฉ่อย,ฉ่อย,CHOI,T,N,N,Y,N,Y,
